KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISORP",65,"2117","Neratovice","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2118","Nymburk","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2119","Podìbrady","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2120","Pøíbram","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2121","Rakovník","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2122","Øíèany","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2123","Sedlèany","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2124","Slanı","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2125","Vlašim","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2126","Votice","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3101","Blatná","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3102","Èeské Budìjovice","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3103","Èeskı Krumlov","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3104","Daèice","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3105","Jindøichùv Hradec","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3106","Kaplice","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3107","Milevsko","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3108","Písek","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3109","Prachatice","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3110","Sobìslav","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3111","Strakonice","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3112","Tábor","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3113","Trhové Sviny","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3114","Tøeboò","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3115","Tın nad Vltavou","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3116","Vimperk","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3117","Vodòany","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"3201","Blovice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3202","Domalice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3203","Horaïovice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3204","Horšovskı Tın","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3205","Klatovy","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3206","Kralovice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3207","Nepomuk","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3208","Nıøany","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3209","Plzeò","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3210","Pøeštice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3211","Rokycany","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3212","Stod","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3213","Støíbro","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3214","Sušice","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"3215","Tachov","KRAJ_NUTS",100,"3042","Plzeòskı kraj"
"CS","Editaèní vazba","CISORP",65,"4101","Aš","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4102","Cheb","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4103","Karlovy Vary","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4104","Kraslice","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4105","Mariánské Láznì","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4106","Ostrov","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4107","Sokolov","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Editaèní vazba","CISORP",65,"4201","Bílina","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4202","Dìèín","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4203","Chomutov","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4204","Kadaò","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4205","Litomìøice","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4206","Litvínov","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4207","Louny","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4208","Lovosice","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4209","Most","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4210","Podboøany","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4211","Roudnice nad Labem","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4212","Rumburk","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4213","Teplice","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4214","Ústí nad Labem","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4215","Varnsdorf","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"4216","atec","KRAJ_NUTS",100,"3069","Ústeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5101","Èeská Lípa","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5102","Frıdlant","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5103","Jablonec nad Nisou","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5104","Jilemnice","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5105","Liberec","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5106","Novı Bor","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5107","Semily","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5108","Tanvald","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5109","Turnov","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5110","eleznı Brod","KRAJ_NUTS",100,"3077","Libereckı kraj"
"CS","Editaèní vazba","CISORP",65,"5201","Broumov","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5202","Dobruška","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5203","Dvùr Králové nad Labem","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5204","Hoøice","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5205","Hradec Králové","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5206","Jaromìø","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5207","Jièín","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5208","Kostelec nad Orlicí","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5209","Náchod","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5210","Nová Paka","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5211","Nové Mìsto nad Metují","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5212","Novı Bydov","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5213","Rychnov nad Knìnou","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5214","Trutnov","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5215","Vrchlabí","KRAJ_NUTS",100,"3085","Královéhradeckı kraj"
"CS","Editaèní vazba","CISORP",65,"5301","Èeská Tøebová","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5302","Hlinsko","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5303","Holice","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5304","Chrudim","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5305","Králíky","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5306","Lanškroun","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5307","Litomyšl","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5308","Moravská Tøebová","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5309","Pardubice","KRAJ_NUTS",100,"3093","Pardubickı kraj"
"CS","Editaèní vazba","CISORP",65,"5310","Polièka","KRAJ_NUTS",100,"3093","Pardubickı kraj"
